<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>
2026-04-23	22:45:00	4693.450	4694.410	4691.930	4692.060	354
2026-04-23	22:50:00	4692.150	4692.870	4689.970	4690.730	298
2026-04-23	22:55:00	4690.740	4693.170	4690.260	4693.100	327
2026-04-23	23:00:00	4693.040	4695.330	4691.830	4693.820	486
2026-04-23	23:05:00	4693.830	4694.300	4690.200	4690.210	337
2026-04-23	23:10:00	4690.200	4692.320	4689.560	4689.560	343
2026-04-23	23:15:00	4689.520	4690.160	4686.820	4688.270	522
2026-04-23	23:20:00	4688.320	4691.560	4688.260	4688.790	383
2026-04-23	23:25:00	4688.760	4694.450	4688.640	4694.190	411
2026-04-23	23:30:00	4694.260	4699.160	4693.440	4698.930	533
2026-04-23	23:35:00	4698.950	4700.630	4696.730	4696.730	450
2026-04-23	23:40:00	4696.740	4698.400	4696.690	4697.260	283
2026-04-23	23:45:00	4697.290	4699.390	4696.070	4696.690	449
2026-04-23	23:50:00	4696.680	4697.380	4695.310	4697.290	445
2026-04-23	23:55:00	4697.530	4697.530	4692.150	4695.160	437
2026-04-24	00:00:00	4695.610	4699.980	4690.830	4691.600	853
2026-04-24	00:05:00	4691.710	4697.770	4691.710	4696.140	777
2026-04-24	00:10:00	4696.110	4698.580	4693.570	4697.910	782
2026-04-24	00:15:00	4697.900	4700.310	4696.800	4696.880	739
2026-04-24	00:20:00	4696.920	4700.940	4696.390	4700.510	723
2026-04-24	00:25:00	4700.520	4705.490	4699.270	4705.360	652
2026-04-24	00:30:00	4705.380	4707.720	4702.700	4704.300	746
2026-04-24	00:35:00	4704.280	4707.320	4703.520	4703.990	650
2026-04-24	00:40:00	4703.930	4704.220	4701.120	4701.440	714
2026-04-24	00:45:00	4701.450	4703.050	4697.170	4699.130	806
2026-04-24	00:50:00	4699.110	4702.980	4697.570	4702.980	793
2026-04-24	00:55:00	4703.080	4705.770	4700.560	4704.370	720
2026-04-24	01:00:00	4704.470	4707.900	4697.390	4698.810	1031
2026-04-24	01:05:00	4698.660	4704.270	4695.770	4703.830	961
2026-04-24	01:10:00	4703.780	4709.840	4703.080	4709.280	822
2026-04-24	01:15:00	4709.300	4710.910	4704.850	4705.250	830
2026-04-24	01:20:00	4705.180	4705.390	4701.570	4703.950	781
2026-04-24	01:25:00	4704.050	4704.050	4698.230	4698.280	767
2026-04-24	01:30:00	4698.250	4702.220	4690.630	4693.470	982
2026-04-24	01:35:00	4693.600	4697.530	4692.560	4695.640	904
2026-04-24	01:40:00	4695.780	4697.530	4690.340	4690.780	881
2026-04-24	01:45:00	4690.570	4697.000	4690.200	4696.920	874
2026-04-24	01:50:00	4696.910	4696.910	4693.240	4695.430	731
2026-04-24	01:55:00	4695.440	4700.610	4693.720	4699.390	761
2026-04-24	02:00:00	4699.340	4700.480	4694.960	4696.820	775
2026-04-24	02:05:00	4696.740	4698.890	4694.730	4694.730	689
2026-04-24	02:10:00	4694.560	4694.560	4690.090	4693.000	851
2026-04-24	02:15:00	4693.220	4695.930	4689.890	4691.560	666
2026-04-24	02:20:00	4691.550	4692.090	4684.750	4684.750	758
2026-04-24	02:25:00	4684.740	4686.500	4682.050	4683.580	798
2026-04-24	02:30:00	4684.050	4690.770	4683.440	4688.920	863
2026-04-24	02:35:00	4688.860	4689.200	4682.730	4683.350	819
2026-04-24	02:40:00	4683.370	4683.470	4679.980	4683.210	820
2026-04-24	02:45:00	4683.100	4683.840	4675.230	4675.830	867
2026-04-24	02:50:00	4675.820	4678.560	4675.040	4678.210	734
2026-04-24	02:55:00	4678.170	4678.880	4673.100	4676.620	814
2026-04-24	03:00:00	4676.660	4678.180	4671.370	4672.560	854
2026-04-24	03:05:00	4672.690	4674.570	4669.470	4670.330	796
2026-04-24	03:10:00	4670.280	4671.740	4668.520	4670.270	758
2026-04-24	03:15:00	4670.270	4674.080	4670.130	4673.470	724
2026-04-24	03:20:00	4673.480	4677.140	4673.400	4674.560	688
2026-04-24	03:25:00	4674.540	4677.860	4673.190	4674.280	755
2026-04-24	03:30:00	4674.710	4676.960	4672.780	4676.340	741
2026-04-24	03:35:00	4676.370	4677.620	4674.250	4676.860	545
2026-04-24	03:40:00	4676.820	4678.020	4674.850	4675.050	439
2026-04-24	03:45:00	4675.120	4676.690	4673.900	4675.080	434
2026-04-24	03:50:00	4675.060	4675.770	4673.740	4673.790	413
2026-04-24	03:55:00	4673.630	4673.860	4671.310	4672.000	482
2026-04-24	04:00:00	4671.650	4671.810	4667.360	4670.690	614
2026-04-24	04:05:00	4670.730	4674.330	4669.310	4674.030	532
2026-04-24	04:10:00	4674.060	4674.460	4669.810	4669.860	492
2026-04-24	04:15:00	4669.880	4670.620	4668.120	4669.140	573
2026-04-24	04:20:00	4669.150	4669.150	4661.500	4661.520	705
2026-04-24	04:25:00	4661.440	4662.540	4659.320	4659.350	610
2026-04-24	04:30:00	4659.380	4661.570	4657.700	4661.500	642
2026-04-24	04:35:00	4661.650	4665.940	4660.560	4665.760	579
2026-04-24	04:40:00	4665.750	4668.280	4664.580	4667.920	567
2026-04-24	04:45:00	4667.850	4676.650	4667.850	4675.790	701
2026-04-24	04:50:00	4675.740	4675.870	4673.320	4674.130	478
2026-04-24	04:55:00	4674.110	4675.590	4673.390	4674.360	369
2026-04-24	05:00:00	4674.350	4676.630	4673.320	4673.490	512
2026-04-24	05:05:00	4673.400	4674.100	4670.190	4670.550	508
2026-04-24	05:10:00	4670.600	4673.770	4669.550	4673.300	512
2026-04-24	05:15:00	4673.530	4675.710	4671.930	4674.660	560
2026-04-24	05:20:00	4674.650	4676.400	4673.380	4676.210	531
2026-04-24	05:25:00	4676.270	4678.370	4676.060	4676.350	444
2026-04-24	05:30:00	4676.370	4684.410	4676.370	4684.370	719
2026-04-24	05:35:00	4684.400	4684.930	4681.820	4684.350	718
2026-04-24	05:40:00	4684.320	4687.150	4681.260	4682.460	773
2026-04-24	05:45:00	4682.500	4684.140	4680.280	4680.630	776
2026-04-24	05:50:00	4680.660	4684.370	4680.300	4684.180	683
2026-04-24	05:55:00	4684.140	4686.580	4682.790	4686.250	660
2026-04-24	06:00:00	4686.240	4687.860	4682.940	4683.360	763
2026-04-24	06:05:00	4683.270	4685.030	4682.070	4683.040	710
2026-04-24	06:10:00	4683.060	4683.860	4680.650	4681.820	727
2026-04-24	06:15:00	4681.780	4681.950	4676.580	4678.050	765
2026-04-24	06:20:00	4678.060	4678.180	4673.340	4673.600	800
2026-04-24	06:25:00	4673.630	4673.980	4669.910	4671.230	854
2026-04-24	06:30:00	4671.350	4675.340	4671.350	4671.810	826
2026-04-24	06:35:00	4671.840	4675.010	4671.750	4675.010	847
2026-04-24	06:40:00	4675.020	4676.020	4669.770	4673.510	755
2026-04-24	06:45:00	4673.520	4673.690	4668.630	4669.430	901
2026-04-24	06:50:00	4669.510	4674.940	4666.620	4674.940	879
2026-04-24	06:55:00	4674.850	4676.210	4671.520	4671.850	801
2026-04-24	07:00:00	4671.690	4676.430	4670.860	4674.450	760
2026-04-24	07:05:00	4674.360	4678.470	4674.000	4677.380	707
2026-04-24	07:10:00	4677.370	4681.260	4676.750	4680.500	579
2026-04-24	07:15:00	4680.490	4682.110	4678.060	4681.320	655
2026-04-24	07:20:00	4681.310	4684.160	4679.910	4681.690	670
2026-04-24	07:25:00	4681.710	4684.690	4681.680	4684.270	569
2026-04-24	07:30:00	4684.250	4684.250	4682.180	4683.920	615
2026-04-24	07:35:00	4683.890	4685.570	4683.160	4683.370	544
2026-04-24	07:40:00	4683.210	4685.730	4682.750	4685.340	586
2026-04-24	07:45:00	4685.380	4691.780	4685.090	4690.930	700
2026-04-24	07:50:00	4690.850	4692.530	4690.450	4690.640	587
2026-04-24	07:55:00	4690.620	4695.110	4689.940	4694.350	594
2026-04-24	08:00:00	4693.750	4694.420	4686.470	4688.350	808
2026-04-24	08:05:00	4688.360	4689.870	4686.320	4687.950	765
2026-04-24	08:10:00	4687.930	4689.900	4686.620	4687.310	674
2026-04-24	08:15:00	4687.360	4694.070	4687.360	4693.050	831
2026-04-24	08:20:00	4693.030	4697.220	4691.740	4692.140	757
2026-04-24	08:25:00	4692.110	4692.110	4686.590	4687.730	778
2026-04-24	08:30:00	4687.680	4688.540	4685.770	4685.920	695
2026-04-24	08:35:00	4686.030	4688.990	4684.930	4688.040	689
2026-04-24	08:40:00	4688.150	4689.990	4687.330	4688.000	622
2026-04-24	08:45:00	4687.980	4692.900	4687.610	4691.740	639
2026-04-24	08:50:00	4691.780	4691.780	4689.450	4690.230	592
2026-04-24	08:55:00	4690.220	4691.050	4688.650	4690.670	584
2026-04-24	09:00:00	4690.740	4692.940	4689.490	4691.540	743
2026-04-24	09:05:00	4691.310	4694.010	4690.420	4691.240	614
2026-04-24	09:10:00	4691.230	4695.160	4690.930	4695.140	627
2026-04-24	09:15:00	4695.130	4696.580	4692.650	4694.510	683
2026-04-24	09:20:00	4694.430	4694.680	4686.170	4686.380	750
2026-04-24	09:25:00	4686.340	4687.490	4682.260	4683.200	812
2026-04-24	09:30:00	4683.080	4684.450	4679.300	4682.710	750
2026-04-24	09:35:00	4682.720	4683.980	4680.910	4682.800	642
2026-04-24	09:40:00	4682.720	4688.400	4682.150	4685.830	655
2026-04-24	09:45:00	4685.910	4686.550	4684.330	4685.000	486
2026-04-24	09:50:00	4685.030	4685.110	4679.260	4682.070	637
2026-04-24	09:55:00	4682.060	4684.180	4679.960	4681.950	623
2026-04-24	10:00:00	4681.920	4684.410	4681.380	4683.750	638
2026-04-24	10:05:00	4683.740	4684.310	4680.780	4683.320	545
2026-04-24	10:10:00	4683.370	4683.420	4681.010	4682.170	525
2026-04-24	10:15:00	4682.030	4683.540	4681.250	4682.840	514
2026-04-24	10:20:00	4682.790	4684.160	4680.130	4683.400	592
2026-04-24	10:25:00	4683.450	4686.080	4682.110	4682.110	608
2026-04-24	10:30:00	4682.140	4682.240	4675.050	4675.050	708
2026-04-24	10:35:00	4675.170	4678.670	4674.530	4677.200	628
2026-04-24	10:40:00	4677.200	4680.900	4676.910	4678.850	567
2026-04-24	10:45:00	4679.020	4679.690	4677.530	4679.500	534
2026-04-24	10:50:00	4679.490	4680.550	4676.530	4677.090	441
2026-04-24	10:55:00	4677.080	4680.220	4676.720	4677.800	548
2026-04-24	11:00:00	4677.680	4690.740	4677.680	4689.190	789
2026-04-24	11:05:00	4689.460	4703.230	4687.290	4695.950	1221
2026-04-24	11:10:00	4696.110	4701.730	4695.510	4697.060	1063
2026-04-24	11:15:00	4697.050	4700.440	4692.460	4695.020	990
2026-04-24	11:20:00	4695.010	4711.760	4692.510	4709.270	1115
2026-04-24	11:25:00	4709.500	4716.950	4706.600	4715.360	1097
2026-04-24	11:30:00	4715.400	4717.180	4710.160	4713.040	1035
2026-04-24	11:35:00	4712.820	4713.100	4706.230	4707.050	880
2026-04-24	11:40:00	4707.020	4709.610	4705.030	4705.330	818
2026-04-24	11:45:00	4705.300	4705.610	4702.780	4704.280	797
2026-04-24	11:50:00	4704.270	4707.180	4703.040	4706.380	726
2026-04-24	11:55:00	4706.310	4708.170	4705.120	4706.740	698
2026-04-24	12:00:00	4706.750	4709.800	4704.990	4707.210	952
2026-04-24	12:05:00	4707.040	4707.760	4703.330	4705.360	774
2026-04-24	12:10:00	4705.490	4710.080	4705.250	4708.600	758
2026-04-24	12:15:00	4708.740	4711.700	4701.380	4705.870	838
2026-04-24	12:20:00	4706.220	4711.400	4703.590	4709.040	969
2026-04-24	12:25:00	4708.910	4710.670	4707.220	4710.460	782
2026-04-24	12:30:00	4710.080	4711.530	4705.770	4705.880	806
2026-04-24	12:35:00	4705.840	4707.320	4703.470	4705.740	875
2026-04-24	12:40:00	4705.760	4706.810	4698.690	4698.730	796
2026-04-24	12:45:00	4698.740	4699.220	4690.260	4692.170	845
2026-04-24	12:50:00	4692.020	4695.240	4690.350	4693.420	918
2026-04-24	12:55:00	4693.580	4701.000	4693.420	4700.650	854
2026-04-24	13:00:00	4700.680	4702.890	4696.240	4697.810	1052
2026-04-24	13:05:00	4697.510	4702.830	4696.120	4700.240	912
2026-04-24	13:10:00	4700.250	4705.490	4699.190	4702.810	933
2026-04-24	13:15:00	4702.860	4704.970	4699.550	4702.190	900
2026-04-24	13:20:00	4702.240	4704.120	4695.450	4696.140	989
2026-04-24	13:25:00	4695.950	4697.230	4693.500	4696.960	981
2026-04-24	13:30:00	4696.950	4699.480	4689.690	4692.030	1179
2026-04-24	13:35:00	4692.410	4704.320	4691.480	4703.830	1117
2026-04-24	13:40:00	4703.850	4709.530	4702.270	4708.060	1130
2026-04-24	13:45:00	4708.100	4717.330	4706.150	4711.950	1187
2026-04-24	13:50:00	4712.040	4712.590	4704.940	4706.030	1119
2026-04-24	13:55:00	4706.020	4712.840	4704.630	4711.950	1041
2026-04-24	14:00:00	4711.350	4715.230	4706.770	4712.960	1186
2026-04-24	14:05:00	4713.010	4730.970	4712.780	4728.190	1215
2026-04-24	14:10:00	4728.140	4740.260	4725.650	4731.660	1186
2026-04-24	14:15:00	4731.090	4733.490	4727.010	4731.250	1128
2026-04-24	14:20:00	4730.820	4733.870	4726.540	4728.160	1126
2026-04-24	14:25:00	4728.270	4728.370	4721.440	4725.380	1090
2026-04-24	14:30:00	4725.420	4731.450	4723.620	4728.780	1115
2026-04-24	14:35:00	4728.810	4731.930	4726.080	4729.700	1118
2026-04-24	14:40:00	4729.710	4732.710	4727.630	4730.280	1037
2026-04-24	14:45:00	4730.450	4731.120	4725.260	4727.680	977
2026-04-24	14:50:00	4727.680	4729.240	4724.740	4725.610	944
2026-04-24	14:55:00	4725.620	4727.240	4724.000	4726.280	870
2026-04-24	15:00:00	4726.330	4727.130	4721.770	4722.150	993
2026-04-24	15:05:00	4722.180	4724.610	4718.880	4724.240	1010
2026-04-24	15:10:00	4724.230	4725.070	4720.000	4721.850	952
2026-04-24	15:15:00	4721.860	4722.990	4719.750	4721.260	952
2026-04-24	15:20:00	4721.440	4726.310	4720.720	4721.570	924
2026-04-24	15:25:00	4721.600	4722.640	4718.360	4721.730	940
2026-04-24	15:30:00	4721.840	4724.740	4718.130	4718.160	932
2026-04-24	15:35:00	4718.220	4720.090	4717.390	4718.820	940
2026-04-24	15:40:00	4718.840	4729.300	4714.590	4727.930	922
2026-04-24	15:45:00	4728.040	4733.320	4724.030	4724.030	1251
2026-04-24	15:50:00	4723.990	4730.560	4723.930	4729.180	1115
2026-04-24	15:55:00	4729.390	4729.890	4725.410	4727.140	1045
2026-04-24	16:00:00	4727.270	4729.530	4723.910	4725.690	1015
2026-04-24	16:05:00	4725.720	4726.490	4720.650	4721.640	880
2026-04-24	16:10:00	4721.590	4723.700	4720.160	4720.340	854
2026-04-24	16:15:00	4720.360	4720.820	4719.010	4720.520	837
2026-04-24	16:20:00	4720.490	4724.480	4720.490	4724.040	765
2026-04-24	16:25:00	4723.950	4725.700	4722.520	4723.210	818
2026-04-24	16:30:00	4723.260	4727.060	4723.260	4725.660	864
2026-04-24	16:35:00	4725.690	4725.730	4723.640	4724.050	698
2026-04-24	16:40:00	4724.010	4724.250	4719.260	4722.460	819
2026-04-24	16:45:00	4722.450	4724.580	4720.300	4721.720	809
2026-04-24	16:50:00	4721.740	4724.670	4721.740	4724.420	795
2026-04-24	16:55:00	4724.230	4727.610	4723.470	4726.770	808
2026-04-24	17:00:00	4726.760	4729.900	4726.760	4728.140	892
2026-04-24	17:05:00	4728.050	4728.990	4725.700	4727.610	802
2026-04-24	17:10:00	4727.650	4728.120	4726.090	4727.850	747
2026-04-24	17:15:00	4727.620	4729.200	4725.900	4728.750	667
2026-04-24	17:20:00	4728.790	4728.930	4723.060	4726.630	774
2026-04-24	17:25:00	4726.660	4727.830	4722.300	4722.840	801
2026-04-24	17:30:00	4722.560	4723.380	4719.020	4720.870	853
2026-04-24	17:35:00	4720.840	4725.440	4720.620	4721.700	738
2026-04-24	17:40:00	4721.720	4723.200	4721.570	4722.590	678
2026-04-24	17:45:00	4722.610	4723.120	4721.410	4722.060	562
2026-04-24	17:50:00	4722.080	4727.670	4720.520	4724.720	649
2026-04-24	17:55:00	4724.820	4726.250	4723.210	4723.340	765
2026-04-24	18:00:00	4723.370	4724.760	4722.380	4722.550	734
2026-04-24	18:05:00	4722.560	4722.750	4719.910	4722.510	681
2026-04-24	18:10:00	4722.500	4724.740	4722.400	4723.730	606
2026-04-24	18:15:00	4723.720	4724.210	4720.700	4721.340	706
2026-04-24	18:20:00	4721.280	4722.330	4719.670	4721.030	735
2026-04-24	18:25:00	4721.060	4721.060	4716.850	4716.950	737
2026-04-24	18:30:00	4716.850	4720.310	4716.830	4719.620	657
2026-04-24	18:35:00	4719.610	4720.420	4718.580	4719.860	606
2026-04-24	18:40:00	4719.890	4720.490	4717.950	4718.820	546
2026-04-24	18:45:00	4718.810	4719.600	4717.730	4718.590	565
2026-04-24	18:50:00	4718.600	4720.990	4717.900	4720.200	627
2026-04-24	18:55:00	4719.950	4723.220	4719.690	4722.620	615
2026-04-24	19:00:00	4722.650	4726.010	4721.660	4723.530	647
2026-04-24	19:05:00	4723.520	4724.070	4722.040	4722.090	540
2026-04-24	19:10:00	4722.100	4722.720	4720.960	4722.440	600
2026-04-24	19:15:00	4722.380	4723.210	4720.160	4721.200	529
2026-04-24	19:20:00	4721.150	4721.150	4717.360	4717.810	532
2026-04-24	19:25:00	4717.750	4719.090	4717.570	4718.970	621
2026-04-24	19:30:00	4718.980	4720.610	4718.380	4718.410	601
2026-04-24	19:35:00	4718.380	4718.410	4716.040	4717.350	617
2026-04-24	19:40:00	4717.320	4717.710	4715.970	4716.670	591
2026-04-24	19:45:00	4716.660	4718.500	4715.760	4716.230	673
2026-04-24	19:50:00	4716.290	4717.450	4715.620	4716.620	744
2026-04-24	19:55:00	4716.590	4717.570	4713.560	4716.910	890
2026-04-24	20:00:00	4716.000	4717.280	4711.010	4711.150	598
2026-04-24	20:05:00	4711.130	4712.140	4708.590	4709.000	447
2026-04-24	20:10:00	4708.960	4710.220	4705.370	4706.690	480
2026-04-24	20:15:00	4706.700	4707.510	4705.390	4705.960	365
2026-04-24	20:20:00	4705.950	4708.120	4705.720	4707.350	366
2026-04-24	20:25:00	4707.140	4709.570	4706.380	4708.180	403
2026-04-24	20:30:00	4708.110	4708.500	4705.390	4705.390	350
2026-04-24	20:35:00	4705.380	4708.650	4705.270	4707.330	346
2026-04-24	20:40:00	4707.310	4707.860	4705.460	4707.710	340
2026-04-24	20:45:00	4707.660	4709.030	4706.970	4707.140	364
2026-04-24	20:50:00	4707.120	4709.560	4706.570	4708.060	371
