Date,Time,Event,Impact,Currency,Category,Source,Actual,Forecast,Previous,Surprise,Unit,Revised
2005-04-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2005-04-29,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-05-02,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-05-04,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-05-06,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-05-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-05-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-05-16,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2005-05-18,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2005-05-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-06-01,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-06-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-06-03,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-06-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-06-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-06-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2005-06-15,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2005-06-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-07-01,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-07-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-07-06,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-07-11,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-07-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-07-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2005-07-20,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2005-07-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2005-07-29,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-08-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-08-03,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-08-05,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-08-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-08-15,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-08-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2005-08-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-09-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-09-02,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-09-07,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-09-12,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-09-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-09-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2005-09-21,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2005-09-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-10-03,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-10-05,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-10-07,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-10-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-10-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-10-17,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2005-10-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2005-10-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-11-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-11-02,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-11-04,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-11-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-11-14,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-11-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2005-11-16,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2005-11-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2005-12-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2005-12-02,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2005-12-07,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2005-12-12,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2005-12-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2005-12-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2005-12-21,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2005-12-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-01-02,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-01-04,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-01-06,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-01-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-01-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-01-16,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-01-18,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2006-01-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2006-01-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-02-01,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-02-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-02-03,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-02-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-02-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-02-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-02-28,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-03-01,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-03-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-03-03,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-03-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-03-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-03-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-03-15,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2006-03-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-04-03,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-04-05,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-04-07,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-04-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-04-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-04-17,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-04-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2006-04-28,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-05-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-05-03,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-05-05,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-05-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-05-15,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-05-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-05-17,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2006-05-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-06-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-06-02,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-06-07,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-06-12,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-06-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-06-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-06-21,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2006-06-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-07-03,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-07-05,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-07-07,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-07-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-07-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-07-17,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-07-19,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2006-07-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2006-07-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-08-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-08-02,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-08-04,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-08-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-08-14,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-08-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-08-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-09-01,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-09-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-09-06,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-09-11,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-09-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-09-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-09-20,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2006-09-29,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-10-02,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-10-04,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-10-06,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-10-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-10-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-10-16,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-10-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2006-10-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-11-01,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-11-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-11-03,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-11-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-11-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-11-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-11-15,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2006-11-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2006-12-01,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2006-12-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2006-12-06,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2006-12-11,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2006-12-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2006-12-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2006-12-20,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2006-12-29,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2007-01-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2007-01-03,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2007-01-05,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2007-01-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2007-01-15,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2007-01-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2007-01-17,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2007-01-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2007-01-31,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2007-02-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2007-02-02,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2007-02-07,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2007-02-12,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2007-02-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2007-02-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2007-02-28,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2007-03-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2007-03-02,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2007-03-07,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2007-03-12,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2007-03-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2007-03-15,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2007-03-21,18:00,FOMC Rate Decision,high,USD,rates,synthetic_calendar,,,,,,
2007-03-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2007-04-02,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2007-04-04,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2007-04-06,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
2007-04-10,13:30,US Consumer Price Index (CPI) YoY,high,USD,inflation,synthetic_calendar,,,,,,
2007-04-13,13:30,US Producer Price Index (PPI) YoY,medium,USD,inflation,synthetic_calendar,,,,,,
2007-04-16,13:30,US Retail Sales MoM,medium,USD,consumption,synthetic_calendar,,,,,,
2007-04-26,13:30,US GDP Annualized QoQ,high,USD,growth,synthetic_calendar,,,,,,
2007-04-30,13:30,US Core PCE Price Index MoM,high,USD,inflation,synthetic_calendar,,,,,,
2007-05-01,15:00,US ISM Manufacturing PMI,medium,USD,growth,synthetic_calendar,,,,,,
2007-05-02,13:15,US ADP Non-Farm Employment Change,medium,USD,labor,synthetic_calendar,,,,,,
2007-05-04,13:30,US Non-Farm Payrolls (NFP),high,USD,labor,synthetic_calendar,,,,,,
